mouse|mice
tooth|teeth
foot|feet
goose|geese
analysis|analyses
basis|bases
knife|knives
life|lives
wife|wives
leaf|leaves
tomato|tomatoes
potato|potatoes
hero|heroes
photo|photos
piano|pianos
video|videos
fish|fish
sheep|sheep
deer|deer
woman|women
man|men
myself|ourselves
yourself|yourselves
himself|themselves
herself|themselves
itself|themselves
